,English Word,Encrypted Text (Binary),Decrypted Text (Binary),Decrypted Text (Alphabet),Initial State, Polynomial
0,Peacock,00000001101110100100011101110101110011001101110100100111,01010000011001010110000101100011011011110110001101101011,Peacock,5432,10101
1,Tropicbird,00000101101011010100100101100110110010101101110100101110010001000011010100011000,01010100011100100110111101110000011010010110001101100010011010010111001001100100,Tropicbird,5432,10101
2,Lemur,0001110110111010010010110110001111010001,0100110001100101011011010111010101110010,Lemur,5432,10101
3,Secretary bird,0000001010111010010001010110010011000110110010100010110101011111001111100101110011111010001100111111110010011101,0101001101100101011000110111001001100101011101000110000101110010011110010010000001100010011010010111001001100100,Secretary bird,5432,10101
4,jicama,001110111011011001000101011101111100111011011111,011010100110100101100011011000010110110101100001,jicama,5432,10101
5,Quail,0000000010101010010001110111111111001111,0101000101110101011000010110100101101100,Quail,5432,10101
6,Beaver,000100111011101001000111011000001100011011001100,010000100110010101100001011101100110010101110010,Beaver,5432,10101
7,Mole,00011100101100000100101001110011,01001101011011110110110001100101,Mole,5432,10101
8,Bull,00010011101010100100101001111010,01000010011101010110110001101100,Bull,5432,10101
9,Plover,000000011011001101001001011000001100011011001100,010100000110110001101111011101100110010101110010,Plover,5432,10101
10,Swallow,00000010101010000100011101111010110011111101000100111011,01010011011101110110000101101100011011000110111101110111,Swallow,5432,10101
11,Jaguar,000110111011111001000001011000111100001011001100,010010100110000101100111011101010110000101110010,Jaguar,5432,10101
12,Albatross,000100001011001101000100011101111101011111001100001000110101111000110100,010000010110110001100010011000010111010001110010011011110111001101110011,Albatross,5432,10101
13,Lark,00011101101111100101010001111101,01001100011000010111001001101011,Lark,5432,10101
14,below,0011001110111010010010100111100111010100,0110001001100101011011000110111101110111,below,5432,10101
15,celtuce,00110010101110100100101001100010110101101101110100101001,01100011011001010110110001110100011101010110001101100101,celtuce,5432,10101
16,beetroot,0011001110111010010000110110001011010001110100010010001101011001,0110001001100101011001010111010001110010011011110110111101110100,beetroot,5432,10101
17,Chimpanzee,00010010101101110100111101111011110100111101111100100010010101110010001000011001,01000011011010000110100101101101011100000110000101101110011110100110010101100101,Chimpanzee,5432,10101
18,mushrooms,001111001010101001010101011111101101000111010001001000110100000000110100,011011010111010101110011011010000111001001101111011011110110110101110011,mushrooms,5432,10101
19,apple,0011000010101111010101100111101011000110,0110000101110000011100000110110001100101,apple,5432,10101
20,winter,001001101011011001001000011000101100011011001100,011101110110100101101110011101000110010101110010,winter,5432,10101
21,Bison,0001001110110110010101010111100111001101,0100001001101001011100110110111101101110,Bison,5432,10101
22,Bunting,00010011101010100100100001100010110010101101000000101011,01000010011101010110111001110100011010010110111001100111,Bunting,5432,10101
23,Cuckoo,000100101010101001000101011111011100110011010001,010000110111010101100011011010110110111101101111,Cuckoo,5432,10101
24,Gull,00010110101010100100101001111010,01000111011101010110110001101100,Gull,5432,10101
25,Pelican,00000001101110100100101001111111110000001101111100100010,01010000011001010110110001101001011000110110000101101110,Pelican,5432,10101
26,cauliflower,0011001010111110010100110111101011001010110110000010000001000010001100000001100111101010,0110001101100001011101010110110001101001011001100110110001101111011101110110010101110010,cauliflower,5432,10101
27,chance,001100101011011101000111011110001100000011011011,011000110110100001100001011011100110001101100101,chance,5432,10101
28,Vulture,00000111101010100100101001100010110101101100110000101001,01010110011101010110110001110100011101010111001001100101,Vulture,5432,10101
29,potato,001000011011000001010010011101111101011111010001,011100000110111101110100011000010111010001101111,potato,5432,10101
30,acorns,001100001011110001001001011001001100110111001101,011000010110001101101111011100100110111001110011,acorns,5432,10101
31,laptop,001111011011111001010110011000101100110011001110,011011000110000101110000011101000110111101110000,laptop,5432,10101
32,Goose,0001011010110000010010010110010111000110,0100011101101111011011110111001101100101,Goose,5432,10101
33,Flamingo,0001011110110011010001110111101111001010110100000010101101000010,0100011001101100011000010110110101101001011011100110011101101111,Flamingo,5432,10101
34,Budgerigar,00010011101010100100001001110001110001101100110000100101010010100010011000001110,01000010011101010110010001100111011001010111001001101001011001110110000101110010,Budgerigar,5432,10101
35,sprout,001000101010111101010100011110011101011011001010,011100110111000001110010011011110111010101110100,sprout,5432,10101
36,Rabbit,000000111011111001000100011101001100101011001010,010100100110000101100010011000100110100101110100,Rabbit,5432,10101
37,Harrier,00011001101111100101010001100100110010101101101100111110,01001000011000010111001001110010011010010110010101110010,Harrier,5432,10101
38,Oriole,000111101010110101001111011110011100111111011011,010011110111001001101001011011110110110001100101,Oriole,5432,10101
39,Oystercatcher,00011110101001100101010101100010110001101100110000101111010011000011001100011111111100000011111111111100,01001111011110010111001101110100011001010111001001100011011000010111010001100011011010000110010101110010,Oystercatcher,5432,10101
40,basket,001100111011111001010101011111011100011011001010,011000100110000101110011011010110110010101110100,basket,5432,10101
41,Finch,0001011110110110010010000111010111001011,0100011001101001011011100110001101101000,Finch,5432,10101
42,candle,001100101011111001001000011100101100111111011011,011000110110000101101110011001000110110001100101,candle,5432,10101
