Ciphertext,IsRandom
111001001100001011010100011101111100100110000101101010001110111110010011,1
0001110110111010010010110110001111010001,0
101100010000111000011000010101101000101110110000101101010001100110111101,0
100101000000111000011000010111101001011110110110,0
1111100100110000101101010001110111,1
00110101101100000100101001100110110010111101011100100010,0
11101111100100110000101101010001110111110010011000010110101000111011111001001,1
101101100000111000000100010100001000000110111011,0
0001101010110000010001110111101011000010,0
101000111011111001001100001011010100,1
0000011010110111010001110111101011000110,0
00010101101110100100001101100100,0
0001110010110000010100110110010111000110,0
001000111011000001000101011111011100011011001010,0
1011111100001110000111110100100010000001,0
001101011011111001001000011100101100011011010010001001010100001000101001,0
111110010011000010110101000111011111001001100001,1
11001001100001011010100011,1
1101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101,1
101100010001001100000101010110001000101110100110101111010001101110101100,0
1000111011111001001100001011010100011101111100100110,1
100100110001001000011010010110101001011010100011101100110000001010111010,0
00100001101111100101010001100101110011011101011100111100,0
0011001110101101010010010111010111000000110100010010000001000100,0
0011001010111010010010100111001111010001110101110010110101001110,0
101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110,1
1010011000001110000110000100111110001011101010111010011100010010,0
1100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100,1
111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010,1
10111010000000000001100001001001100011011010011110100110,0
100001010000100000000100010111111000101110110101,0
100100110000101101010001110111110010011,1
11110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111,1
00000001101110100100011101110101110011001101110100100111,0
001000111011111001000010011111111100000011011101001001000100010000101000,0
10111101000110000001100101001111100000011011000010110111000101101011110111100110110000001000101011100001,0
000000011010101001000000011100001100101011010000,0
10000101101010001110111110010011000010110101000111011111001001100001011,1
00010011101010100100001001110001110001101100110000100101010010100010011000001110,0
100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111,1
00000001101111100100100001100010110010111101101100111110,0
10010001000000000000100001011001100001011010010110110001,0
11110010011000010110101000111011111001001100001011010100011101,1
000111101010110101001111011110011100111111011011,0
100011101111100100110000101101010001110111110010011000010110101000,1
0011001010110111010001110111111111010001,0
0000001010110111010010010110000011000110110100100010100101011111,0
0011000010110001010000010111001111010001,0
100101010001010000000011010011111000010110110000,0
1100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101,1
111100100110000101101010,1
0001001110110000010010010111010011011010,0
10000001000000000000011001001000100011011010010010101101,0
0011111010110001010011110111100111001101,0
11111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001,1
10110101000111011111001001100001011010100011101111100100110000101,1
1001100001011010100011101111100100110000101101010001110111110010011,1
1000010110101000111011111001001100001011010100011101111100100110000101,1
