Ciphertext,Length,Pseudo-Random Code (Binary)
Ciphertext 1,55,1100001011010100011101111100100110000101101010001110111
Ciphertext 2,107,11001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001
Ciphertext 3,117,110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000
Ciphertext 4,27,101010001110111110010011000
Ciphertext 5,80,10010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 6,41,11101111100100110000101101010001110111110
Ciphertext 7,111,101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111
Ciphertext 8,36,101101010001110111110010011000010110
Ciphertext 9,75,111100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 10,50,11011111001001100001011010100011101111100100110000
Ciphertext 11,80,11001001100001011010100011101111100100110000101101010001110111110010011000010110
Ciphertext 12,25,1101111100100110000101101
Ciphertext 13,103,1011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100
Ciphertext 14,58,1101010001110111110010011000010110101000111011111001001100
Ciphertext 15,35,11100100110000101101010001110111110
Ciphertext 16,70,1110111110010011000010110101000111011111001001100001011010100011101111
Ciphertext 17,49,1111001001100001011010100011101111100100110000101
Ciphertext 18,42,101000111011111001001100001011010100011101
Ciphertext 19,110,10000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001
Ciphertext 20,107,10111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011
Ciphertext 21,112,1111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101
Ciphertext 22,111,111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 23,119,11010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110
Ciphertext 24,53,10101000111011111001001100001011010100011101111100100
Ciphertext 25,83,10110101000111011111001001100001011010100011101111100100110000101101010001110111110
Ciphertext 26,36,100100110000101101010001110111110010
Ciphertext 27,88,1011010100011101111100100110000101101010001110111110010011000010110101000111011111001001
Ciphertext 28,42,101000111011111001001100001011010100011101
Ciphertext 29,60,110101000111011111001001100001011010100011101111100100110000
Ciphertext 30,33,100110000101101010001110111110010
Ciphertext 31,118,1010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000
Ciphertext 32,25,1011010100011101111100100
Ciphertext 33,56,11010100011101111100100110000101101010001110111110010011
Ciphertext 34,36,111001001100001011010100011101111100
Ciphertext 35,85,1101010001110111110010011000010110101000111011111001001100001011010100011101111100100
Ciphertext 36,66,101111100100110000101101010001110111110010011000010110101000111011
Ciphertext 37,74,11100100110000101101010001110111110010011000010110101000111011111001001100
Ciphertext 38,66,100110000101101010001110111110010011000010110101000111011111001001
Ciphertext 39,88,1100001011010100011101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 40,67,1011010100011101111100100110000101101010001110111110010011000010110
Ciphertext 41,50,10101000111011111001001100001011010100011101111100
Ciphertext 42,34,1111100100110000101101010001110111
Ciphertext 43,55,1011010100011101111100100110000101101010001110111110010
Ciphertext 44,33,111011111001001100001011010100011
Ciphertext 45,105,110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010
Ciphertext 46,100,1000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111
Ciphertext 47,27,101000111011111001001100001
Ciphertext 48,91,1110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110
Ciphertext 49,75,101101010001110111110010011000010110101000111011111001001100001011010100011
Ciphertext 50,124,1111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101
Ciphertext 51,45,101010001110111110010011000010110101000111011
Ciphertext 52,63,111100100110000101101010001110111110010011000010110101000111011
Ciphertext 53,112,1100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 54,36,101000111011111001001100001011010100
Ciphertext 55,52,1000111011111001001100001011010100011101111100100110
Ciphertext 56,59,10000101101010001110111110010011000010110101000111011111001
Ciphertext 57,122,11000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001
Ciphertext 58,70,1101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 59,30,110101000111011111001001100001
Ciphertext 60,93,101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000
Ciphertext 61,108,111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000
Ciphertext 62,121,1010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000
Ciphertext 63,63,101000111011111001001100001011010100011101111100100110000101101
Ciphertext 64,94,1000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101
Ciphertext 65,75,111011111001001100001011010100011101111100100110000101101010001110111110010
Ciphertext 66,42,100110000101101010001110111110010011000010
Ciphertext 67,84,111001001100001011010100011101111100100110000101101010001110111110010011000010110101
Ciphertext 68,28,1000111011111001001100001011
Ciphertext 69,97,1101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101
Ciphertext 70,60,101101010001110111110010011000010110101000111011111001001100
Ciphertext 71,117,101101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010
Ciphertext 72,44,10010011000010110101000111011111001001100001
Ciphertext 73,120,101010001110111110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000
Ciphertext 74,86,10001110111110010011000010110101000111011111001001100001011010100011101111100100110000
Ciphertext 75,126,110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011
Ciphertext 76,77,10100011101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 77,24,101101010001110111110010
Ciphertext 78,126,110010011000010110101000111011111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111
Ciphertext 79,116,11111001001100001011010100011101111100100110000101101010001110111110010011000010110101000111011111001001100001011010
Ciphertext 80,45,110101000111011111001001100001011010100011101
